Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,51.564,48.85265700483092,2022-05-12,2024-05-31,2.7113429951690833
BVH,-1.0919999999999999,-10.120240480961924,2022-05-12,2024-05-31,9.028240480961923
CTG,33.207,42.60169870362092,2022-05-12,2024-05-31,-9.394698703620918
FPT,100.352,103.03930131004367,2022-05-12,2024-05-31,-2.687301310043665
GAS,0.0,-3.1087456150961654,2022-05-12,2024-05-31,3.1087456150961654
HPG,75.045,8.662613981762918,2022-05-12,2024-05-31,66.38238601823709
MBB,58.471,22.673434856175973,2022-05-12,2024-05-31,35.79756514382402
MSN,-16.439999999999998,-25.875749951616022,2022-05-12,2024-05-31,9.435749951616025
SHB,-1.5559999999999998,13.043478260869565,2022-05-12,2024-05-31,-14.599478260869564
SSI,100.89200000000001,54.70352206865805,2022-05-12,2024-05-31,46.18847793134196
STB,26.119999999999997,26.879271070615037,2022-05-12,2024-05-31,-0.7592710706150392
VCB,52.125,33.74233128834356,2022-05-12,2024-05-31,18.382668711656443
VIC,-26.279999999999998,-44.87341772151899,2022-05-12,2024-05-31,18.593417721518993
VNM,-4.183,9.200200367340123,2022-05-12,2024-05-31,-13.383200367340123
