Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,46.343,48.85265700483092,2022-05-12,2024-05-31,-2.5096570048309133
BVH,0.402,-10.120240480961924,2022-05-12,2024-05-31,10.522240480961923
CTG,32.173,42.60169870362092,2022-05-12,2024-05-31,-10.428698703620917
FPT,100.787,103.03930131004367,2022-05-12,2024-05-31,-2.252301310043663
GAS,0.0,-3.1087456150961654,2022-05-12,2024-05-31,3.1087456150961654
HPG,66.475,8.662613981762918,2022-05-12,2024-05-31,57.81238601823708
MBB,24.537,22.673434856175973,2022-05-12,2024-05-31,1.863565143824026
MSN,-20.169999999999998,-25.875749951616022,2022-05-12,2024-05-31,5.705749951616024
SHB,0.0,13.043478260869565,2022-05-12,2024-05-31,-13.043478260869565
SSI,63.714000000000006,54.70352206865805,2022-05-12,2024-05-31,9.010477931341953
STB,20.7,26.879271070615037,2022-05-12,2024-05-31,-6.179271070615037
VCB,61.572,33.74233128834356,2022-05-12,2024-05-31,27.829668711656446
VIC,-22.595000000000002,-44.87341772151899,2022-05-12,2024-05-31,22.278417721518988
VNM,-4.0809999999999995,9.200200367340123,2022-05-12,2024-05-31,-13.281200367340123
