Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,46.343,48.85265700483092,2022-05-12,2024-05-31,-2.5096570048309133
BVH,1.549,-10.120240480961924,2022-05-12,2024-05-31,11.669240480961923
CTG,28.985,42.60169870362092,2022-05-12,2024-05-31,-13.61669870362092
FPT,92.463,103.03930131004367,2022-05-12,2024-05-31,-10.576301310043675
GAS,0.0,-3.1087456150961654,2022-05-12,2024-05-31,3.1087456150961654
HPG,0.0,8.662613981762918,2022-05-12,2024-05-31,-8.662613981762918
MBB,0.0,22.673434856175973,2022-05-12,2024-05-31,-22.673434856175973
MSN,-27.43,-25.875749951616022,2022-05-12,2024-05-31,-1.5542500483839774
SHB,0.32399999999999995,13.043478260869565,2022-05-12,2024-05-31,-12.719478260869565
SSI,50.205,54.70352206865805,2022-05-12,2024-05-31,-4.498522068658055
STB,0.0,26.879271070615037,2022-05-12,2024-05-31,-26.879271070615037
VCB,60.548,33.74233128834356,2022-05-12,2024-05-31,26.805668711656445
VIC,10.875,-44.87341772151899,2022-05-12,2024-05-31,55.74841772151899
VNM,-1.96,9.200200367340123,2022-05-12,2024-05-31,-11.160200367340124
