Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,0.0,48.85265700483092,2022-05-12,2024-05-31,-48.85265700483092
BVH,0.076,-10.120240480961924,2022-05-12,2024-05-31,10.196240480961924
CTG,50.676,42.60169870362092,2022-05-12,2024-05-31,8.074301296379083
FPT,100.804,103.03930131004367,2022-05-12,2024-05-31,-2.235301310043667
GAS,-2.776,-3.1087456150961654,2022-05-12,2024-05-31,0.3327456150961656
HPG,0.0,8.662613981762918,2022-05-12,2024-05-31,-8.662613981762918
MBB,0.0,22.673434856175973,2022-05-12,2024-05-31,-22.673434856175973
MSN,-5.5014,-25.875749951616022,2022-05-12,2024-05-31,20.374349951616022
SHB,0.0,13.043478260869565,2022-05-12,2024-05-31,-13.043478260869565
SSI,0.0,54.70352206865805,2022-05-12,2024-05-31,-54.70352206865805
STB,0.0,26.879271070615037,2022-05-12,2024-05-31,-26.879271070615037
VCB,0.0,33.74233128834356,2022-05-12,2024-05-31,-33.74233128834356
VIC,25.455,-44.87341772151899,2022-05-12,2024-05-31,70.32841772151899
VNM,-9.306000000000001,9.200200367340123,2022-05-12,2024-05-31,-18.506200367340124
