Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,46.343,48.85265700483092,2022-05-12,2024-05-31,-2.5096570048309133
BVH,0.179,-10.120240480961924,2022-05-12,2024-05-31,10.299240480961924
CTG,45.009,42.60169870362092,2022-05-12,2024-05-31,2.4073012963790816
FPT,100.352,103.03930131004367,2022-05-12,2024-05-31,-2.687301310043665
GAS,0.0,-3.1087456150961654,2022-05-12,2024-05-31,3.1087456150961654
HPG,66.475,8.662613981762918,2022-05-12,2024-05-31,57.81238601823708
MBB,24.762999999999998,22.673434856175973,2022-05-12,2024-05-31,2.089565143824025
MSN,-20.169999999999998,-25.875749951616022,2022-05-12,2024-05-31,5.705749951616024
SHB,24.407999999999998,13.043478260869565,2022-05-12,2024-05-31,11.364521739130433
SSI,61.956999999999994,54.70352206865805,2022-05-12,2024-05-31,7.253477931341941
STB,26.119999999999997,26.879271070615037,2022-05-12,2024-05-31,-0.7592710706150392
VCB,29.808,33.74233128834356,2022-05-12,2024-05-31,-3.9343312883435573
VIC,-22.595000000000002,-44.87341772151899,2022-05-12,2024-05-31,22.278417721518988
VNM,-2.669,9.200200367340123,2022-05-12,2024-05-31,-11.869200367340124
