Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,48.355,48.85265700483092,2022-05-12,2024-05-31,-0.4976570048309199
BVH,1.892,-10.120240480961924,2022-05-12,2024-05-31,12.012240480961923
CTG,32.378,42.60169870362092,2022-05-12,2024-05-31,-10.223698703620919
FPT,100.352,103.03930131004367,2022-05-12,2024-05-31,-2.687301310043665
GAS,0.0,-3.1087456150961654,2022-05-12,2024-05-31,3.1087456150961654
HPG,66.49000000000001,8.662613981762918,2022-05-12,2024-05-31,57.82738601823709
MBB,56.971000000000004,22.673434856175973,2022-05-12,2024-05-31,34.29756514382403
MSN,-16.439999999999998,-25.875749951616022,2022-05-12,2024-05-31,9.435749951616025
SHB,69.06,13.043478260869565,2022-05-12,2024-05-31,56.01652173913044
SSI,102.612,54.70352206865805,2022-05-12,2024-05-31,47.90847793134194
STB,0.0,26.879271070615037,2022-05-12,2024-05-31,-26.879271070615037
VCB,17.487,33.74233128834356,2022-05-12,2024-05-31,-16.25533128834356
VIC,-23.294999999999998,-44.87341772151899,2022-05-12,2024-05-31,21.578417721518992
VNM,-4.0809999999999995,9.200200367340123,2022-05-12,2024-05-31,-13.281200367340123
